flag,value
FULL_NATIVE_READY_BY_DATASET,True
EXPORT_FULL_FIDELITY_PASS_BY_DATASET,True
BUDGET_METRIC_SEMANTICS_PASS,True
NO_MIXED_ACTUAL_STRUCTURAL_RATIO_PASS,True
NO_FULL_FALLBACK_IN_MAIN_COMPRESSION_TABLE,True
FULL_HASH_ROWS_ONLY_IN_SANITY_TABLE,True
REQUESTED_BUDGET_MATCH_PASS_BY_ROW,True
DBLP_EDGE_BASELINE_SUPPORT_EDGE20_READY,True
DBLP_EXTERNAL_TP_SMOKE_READY,True
ACM_REAL_COMPRESSED_ROW_READY,True
IMDB_REAL_COMPRESSED_ROW_READY,True
HESF_RCS_REP_ACTUAL_VALIDATION_READY,True
HESF_RCS_REP_SELECTED_WITHOUT_TEST_LEAKAGE,True
FREEHGC_SCORE_TP_LOCAL_READY,True
STAGE_REPORT_SMOKE_READY,True
STAGE_REPORT_BUDGET_TRUTH_READY,True
FULL_NATIVE_READY_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
EXPORT_FULL_FIDELITY_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
REQUESTED_BUDGET_MATCH_DETAIL_BY_ROW,"{""ACM|ACM-Degree-field20|keyword_feature_ratio|0.2"": true, ""ACM|ACM-HeSF-RCS-auto-field20|keyword_feature_ratio|0.2"": true, ""ACM|ACM-HeSF-RCS-auto-field30|keyword_feature_ratio|0.3"": true, ""ACM|ACM-Random-field20|keyword_feature_ratio|0.2"": true, ""ACM|HeSF-RCS-Rep-Validated|keyword_feature_ratio|0.2"": true, ""DBLP|Degree-edge-relwise|support_edge_ratio|0.2"": true, ""DBLP|FreeHGC-score-TP-local|support_edge_ratio|0.2"": true, ""DBLP|GCond-score-TP-local|support_node_ratio|0.5"": true, ""DBLP|HGCond-score-TP-local|support_node_ratio|0.5"": true, ""DBLP|HeSF-RCS-auto structural12|structural_storage_ratio|0.12"": true, ""DBLP|HeSF-RCS-auto structural16|structural_storage_ratio|0.16"": true, ""DBLP|Herding-HG-TP|support_node_ratio|0.5"": true, ""DBLP|Proportional-relation-budget|support_edge_ratio|0.2"": true, ""DBLP|Random-edge-relwise|support_edge_ratio|0.2"": true, ""IMDB|HeSF-RCS-Rep-Validated|structural_storage_ratio|0.2"": true, ""IMDB|IMDB-Degree-channel20|channel_edge_ratio|0.2"": true, ""IMDB|IMDB-HeSF-RCS-auto structural20|structural_storage_ratio|0.2"": true, ""IMDB|IMDB-HeSF-RCS-auto structural30|structural_storage_ratio|0.3"": true, ""IMDB|IMDB-MDfull-MA20-MK50|channel_edge_ratio|0.5"": true, ""IMDB|IMDB-MDfull-MA50-MK20|channel_edge_ratio|0.5"": true, ""IMDB|IMDB-Random-channel20|channel_edge_ratio|0.2"": true}"
