dataset,method,canonical_method,relation_channel_spec,edge_score_strategy,runs,success_count,mean_test_micro_f1,std_test_micro_f1,pathaware_beats_random_by_005,diagnostic_only
DBLP,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00-pathaware-v2-topk,AP100-PA00-PV50-VP00-PTTP00,pathaware_v2_topk,9,0,,,,True
DBLP,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00-random,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00-random,AP100-PA00-PV50-VP00-PTTP00,random_edge_within_relation,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-coverage,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-coverage,AP30-PA00-PV100-VP00-PTTP00,coverage_sampler,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-degree,AP30-PA00-PV100-VP00-PTTP00,degree_within_relation,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,AP30-PA00-PV100-VP00-PTTP00,pathaware_v2_stratified,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP30-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-random,AP30-PA00-PV100-VP00-PTTP00,random_edge_within_relation,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-coverage,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-coverage,AP30-PA00-PV30-VP00-PTTP00,coverage_sampler,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-degree,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-degree,AP30-PA00-PV30-VP00-PTTP00,degree_within_relation,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-pathaware-v2-stratified,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-pathaware-v2-stratified,AP30-PA00-PV30-VP00-PTTP00,pathaware_v2_stratified,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-pathaware-v2-topk,AP30-PA00-PV30-VP00-PTTP00,pathaware_v2_topk,9,0,,,,True
DBLP,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-random,H6-dirskel-AP30-PA00-PV30-VP00-PTTP00-random,AP30-PA00-PV30-VP00-PTTP00,random_edge_within_relation,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-coverage,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-coverage,AP50-PA00-PV100-VP00-PTTP00,coverage_sampler,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_stratified,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-coverage,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-coverage,AP50-PA00-PV50-VP00-PTTP00,coverage_sampler,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-degree,AP50-PA00-PV50-VP00-PTTP00,degree_within_relation,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-pathaware-v2-stratified,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-pathaware-v2-stratified,AP50-PA00-PV50-VP00-PTTP00,pathaware_v2_stratified,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV50-VP00-PTTP00,pathaware_v2_topk,9,0,,,,True
DBLP,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV50-VP00-PTTP00-random,AP50-PA00-PV50-VP00-PTTP00,random_edge_within_relation,9,0,,,,True
