dataset,method,canonical_method,graph_seed,training_seed,semantic_structural_storage_ratio,support_node_ratio,support_edge_ratio,total_node_ratio,total_edge_ratio,hgb_raw_file_byte_ratio,effective_total_byte_ratio,preprocessed_cache_byte_ratio,node_dat_bytes,link_dat_bytes,label_dat_bytes,label_test_dat_bytes,info_dat_bytes,metadata_bytes,feature_sidecar_bytes,feature_sidecar_metadata_bytes,preprocessed_cache_bytes,export_total_bytes,native_full_total_bytes,structural_storage50_pass,structural_storage40_pass,structural_storage30_pass,structural_storage20_pass,raw_hgb_byte50_pass,raw_hgb_byte30_pass,effective_byte50_pass,effective_byte30_pass,cache_byte50_pass,cache_byte30_pass,official_sehgnn_unmodified,adapter_family,eligible_for_main_decision
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,1,1,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671851875486,0.5360671851875486,,69273997,1132389,16378,38200,0,305739,0,0,0,70766703,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,1,2,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671851875486,0.5360671851875486,,69273997,1132389,16378,38200,0,305739,0,0,0,70766703,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,1,3,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671851875486,0.5360671851875486,,69273997,1132389,16378,38200,0,305739,0,0,0,70766703,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,2,1,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671548870167,0.5360671548870167,,69273997,1132385,16378,38200,0,305739,0,0,0,70766699,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,2,2,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671548870167,0.5360671548870167,,69273997,1132385,16378,38200,0,305739,0,0,0,70766699,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,2,3,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671548870167,0.5360671548870167,,69273997,1132385,16378,38200,0,305739,0,0,0,70766699,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,3,1,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360673442653411,0.5360673442653411,,69273997,1132410,16378,38200,0,305739,0,0,0,70766724,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,3,2,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360673442653411,0.5360673442653411,,69273997,1132410,16378,38200,0,305739,0,0,0,70766724,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,3,3,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360673442653411,0.5360673442653411,,69273997,1132410,16378,38200,0,305739,0,0,0,70766724,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,1,1,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671851875486,0.5360671851875486,,69273997,1132389,16378,38200,0,305739,0,0,0,70766703,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,1,2,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671851875486,0.5360671851875486,,69273997,1132389,16378,38200,0,305739,0,0,0,70766703,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,1,3,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671851875486,0.5360671851875486,,69273997,1132389,16378,38200,0,305739,0,0,0,70766703,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,2,1,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671473118838,0.5360671473118838,,69273997,1132384,16378,38200,0,305739,0,0,0,70766698,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,2,2,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671473118838,0.5360671473118838,,69273997,1132384,16378,38200,0,305739,0,0,0,70766698,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,2,3,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.5360671473118838,0.5360671473118838,,69273997,1132384,16378,38200,0,305739,0,0,0,70766698,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,3,1,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.536067336690208,0.536067336690208,,69273997,1132409,16378,38200,0,305739,0,0,0,70766723,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,3,2,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.536067336690208,0.536067336690208,,69273997,1132409,16378,38200,0,305739,0,0,0,70766723,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,3,3,0.3063599479100017,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.536067336690208,0.536067336690208,,69273997,1132409,16378,38200,0,305739,0,0,0,70766723,132010884,True,True,False,False,False,False,False,False,,,True,,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,H6-dir-AP100-PA50-PTTP30-PVVP100,1,1,0.3392398774530099,0.30003171582619725,0.3316622559127756,0.40871861604409065,0.3316622559127756,0.5371001303195576,0.5371001303195576,,69273997,1268746,16378,38200,0,305742,0,0,0,70903063,132010884,True,True,False,False,False,False,False,False,,,True,,True
